scenario,arch,ts,pid,cpu_percent,rss_mb
medium_load,docker,1779182955.8451424,14184,37.4,14.8
medium_load,docker,1779182956.0958838,14184,37.4,14.81
heavy_load,docker,1779182956.9140275,26604,0.0,14.38
heavy_load,docker,1779182957.164935,26604,74.8,14.57
heavy_load,docker,1779182957.4153306,26604,74.9,14.57
heavy_load,docker,1779182957.6656623,26604,74.9,14.57
heavy_load,docker,1779182957.9163008,26604,74.8,14.57
heavy_load,docker,1779182958.1670587,26604,74.8,14.57
heavy_load,docker,1779182958.4178395,26604,74.8,14.57
heavy_load,docker,1779182958.668424,26604,74.8,14.57
heavy_load,docker,1779182958.91909,26604,74.8,14.57
heavy_load,docker,1779182959.1695867,26604,81.1,14.57
heavy_load,docker,1779182959.41992,26604,74.9,14.57
heavy_load,docker,1779182959.6703324,26604,68.6,14.57
heavy_load,docker,1779182959.9207258,26604,74.9,14.57
heavy_load,docker,1779182960.171142,26604,74.9,14.57
heavy_load,docker,1779182960.4217308,26604,74.8,14.57
heavy_load,docker,1779182960.6720243,26604,74.9,14.57
heavy_load,docker,1779182960.922384,26604,68.7,14.57
heavy_load,docker,1779182961.172746,26604,74.9,14.57
heavy_load,docker,1779182961.4231894,26604,74.9,14.57
heavy_load,docker,1779182961.6737275,26604,74.8,14.57
cold_warm_probe,serverless,1779182962.4343913,-1,0.0,0.0
cold_warm_probe,serverless,1779182962.6852374,35872,0.0,14.53
cold_warm_probe,serverless,1779182962.9364388,35872,0.0,14.53
cold_warm_probe,serverless,1779182963.1876338,35872,0.0,14.53
cold_warm_probe,serverless,1779182963.438026,35872,0.0,14.53
cold_warm_probe,serverless,1779182963.6883745,35872,0.0,14.53
cold_warm_probe,serverless,1779182963.9397256,35872,0.0,14.53
cold_warm_probe,serverless,1779182964.1901946,35872,0.0,14.53
cold_warm_probe,serverless,1779182964.440876,35872,0.0,14.53
cold_warm_probe,serverless,1779182964.691447,35872,0.0,14.53
cold_warm_probe,serverless,1779182964.9425745,35872,0.0,14.53
cold_warm_probe,serverless,1779182965.1933866,35872,0.0,14.53
cold_warm_probe,serverless,1779182965.443844,35872,0.0,14.53
cold_warm_probe,serverless,1779182965.694466,35872,0.0,14.53
cold_warm_probe,serverless,1779182965.945174,35872,0.0,14.53
cold_warm_probe,serverless,1779182966.1960554,35872,0.0,14.53
cold_warm_probe,serverless,1779182966.446869,35872,0.0,14.53
cold_warm_probe,serverless,1779182966.6980882,35872,0.0,14.53
cold_warm_probe,serverless,1779182966.9482276,-1,0.0,0.0
cold_warm_probe,serverless,1779182967.1995044,33024,0.0,14.56
cold_warm_probe,serverless,1779182967.4507618,33024,0.0,14.56
cold_warm_probe,serverless,1779182967.701237,33024,0.0,14.56
cold_warm_probe,serverless,1779182967.9519944,33024,0.0,14.56
cold_warm_probe,serverless,1779182968.20296,33024,0.0,14.56
